                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.47253,                0.29561,                0.83767,                0.99962,                      1,                  0.995,                0.92534,                0.41208,                0.25047,                0.83366,              0.0011884,              0.0011884,              0.0011884
                     89,                0.47452,                0.29143,                0.84687,                0.99961,                      1,                  0.995,                0.92231,                 0.4208,                0.24223,                0.83655,              0.0011829,              0.0011829,              0.0011829
                     90,                 0.4887,                0.29281,                0.85342,                0.99964,                      1,                  0.995,                0.92145,                0.41641,                0.23686,                0.83501,              0.0011774,              0.0011774,              0.0011774
                     91,                0.48944,                0.29022,                0.84316,                0.99966,                      1,                  0.995,                 0.9253,                 0.4154,                0.24391,                0.83841,              0.0011719,              0.0011719,              0.0011719
                     92,                 0.4893,                0.29271,                0.85308,                0.99966,                      1,                  0.995,                0.92486,                0.40657,                0.23643,                0.83223,              0.0011664,              0.0011664,              0.0011664
                     93,                0.46621,                0.28207,                 0.8353,                0.99963,                      1,                  0.995,                0.92408,                 0.4184,                0.24577,                0.83503,              0.0011609,              0.0011609,              0.0011609
                     94,                0.49221,                0.28795,                0.84739,                0.99955,                      1,                  0.995,                0.92037,                 0.4148,                0.25766,                0.83567,              0.0011554,              0.0011554,              0.0011554
                     95,                0.47326,                0.28633,                0.84604,                0.99939,                      1,                  0.995,                0.92994,                0.40949,                0.24989,                0.83192,              0.0011499,              0.0011499,              0.0011499
                     96,                0.47605,                0.28637,                0.85107,                0.99968,                      1,                  0.995,                0.93277,                0.39731,                0.24089,                0.82979,              0.0011444,              0.0011444,              0.0011444
                     97,                0.48643,                0.28975,                0.84327,                0.99961,                      1,                  0.995,                0.91717,                0.42433,                0.25052,                0.83624,              0.0011389,              0.0011389,              0.0011389
                     98,                0.48626,                0.28652,                0.84644,                0.99942,                      1,                  0.995,                0.92221,                0.39942,                0.24017,                0.83139,              0.0011334,              0.0011334,              0.0011334
                     99,                0.47643,                 0.2889,                0.84376,                0.99928,                      1,                  0.995,                0.92018,                0.41117,                0.24331,                0.83454,              0.0011279,              0.0011279,              0.0011279
                    100,                0.47614,                0.28554,                0.84786,                0.99958,                      1,                  0.995,                0.92435,                  0.418,                0.24866,                0.83641,              0.0011224,              0.0011224,              0.0011224
                    101,                0.47641,                0.28425,                0.83943,                0.99947,                      1,                  0.995,                0.92983,                0.41694,                0.24034,                0.83465,              0.0011169,              0.0011169,              0.0011169
                    102,                0.47218,                0.28445,                0.84275,                0.99947,                      1,                  0.995,                 0.9197,                0.42678,                0.23308,                0.83808,              0.0011114,              0.0011114,              0.0011114
                    103,                0.46286,                0.27464,                0.83533,                0.99957,                      1,                  0.995,                 0.9262,                0.40493,                0.22718,                0.83007,              0.0011059,              0.0011059,              0.0011059
                    104,                0.47528,                0.28453,                0.83347,                0.99951,                      1,                  0.995,                0.93294,                0.40172,                0.23845,                0.82927,              0.0011004,              0.0011004,              0.0011004
                    105,                0.46202,                 0.2734,                0.84297,                0.99966,                      1,                  0.995,                0.93147,                 0.3985,                0.22761,                0.82925,              0.0010949,              0.0010949,              0.0010949
                    106,                0.46953,                0.27765,                 0.8438,                0.99967,                      1,                  0.995,                0.92403,                0.42304,                 0.2445,                0.83673,              0.0010894,              0.0010894,              0.0010894
                    107,                0.46056,                 0.2699,                0.83481,                 0.9996,                      1,                  0.995,                0.92621,                0.40382,                0.23207,                0.83235,              0.0010839,              0.0010839,              0.0010839
                    108,                 0.4629,                0.28202,                0.85018,                0.99966,                      1,                  0.995,                0.92469,                0.41201,                0.22851,                 0.8311,              0.0010784,              0.0010784,              0.0010784
                    109,                0.46348,                0.27828,                0.84162,                0.99956,                      1,                  0.995,                0.92273,                 0.4219,                0.24955,                 0.8407,              0.0010729,              0.0010729,              0.0010729
                    110,                0.46238,                0.27642,                0.84608,                0.99964,                      1,                  0.995,                0.92618,                  0.412,                0.24841,                0.83227,              0.0010674,              0.0010674,              0.0010674
                    111,                0.44828,                0.27115,                0.83863,                 0.9995,                      1,                  0.995,                 0.9243,                0.40472,                0.23585,                0.83237,              0.0010619,              0.0010619,              0.0010619
                    112,                0.44038,                0.27194,                0.83955,                0.99963,                      1,                  0.995,                0.92831,                0.40251,                0.23362,                0.83061,              0.0010564,              0.0010564,              0.0010564
                    113,                 0.4472,                0.26928,                0.84195,                 0.9995,                      1,                  0.995,                 0.9373,                0.39381,                0.23199,                0.82805,              0.0010509,              0.0010509,              0.0010509
                    114,                0.44523,                0.27505,                0.83691,                0.99963,                      1,                  0.995,                0.93273,                 0.3976,                0.22829,                0.83132,              0.0010454,              0.0010454,              0.0010454
                    115,                0.43827,                0.26832,                0.84059,                 0.9996,                      1,                  0.995,                0.93419,                0.39159,                0.23796,                0.82815,              0.0010399,              0.0010399,              0.0010399
                    116,                0.45607,                0.27895,                0.84946,                0.99962,                      1,                  0.995,                0.92928,                 0.4011,                0.23398,                0.83171,              0.0010344,              0.0010344,              0.0010344
                    117,                0.43748,                0.26073,                0.83797,                0.99954,                      1,                  0.995,                0.92913,                0.40301,                 0.2303,                0.83125,              0.0010289,              0.0010289,              0.0010289
                    118,                0.44843,                0.26519,                0.84189,                0.99958,                      1,                  0.995,                0.92219,                0.39984,                0.22218,                0.82914,              0.0010234,              0.0010234,              0.0010234
                    119,                0.45417,                0.27276,                0.83628,                0.99964,                      1,                  0.995,                0.93376,                  0.397,                0.22548,                0.82983,              0.0010179,              0.0010179,              0.0010179
                    120,                 0.4445,                 0.2711,                0.83801,                0.99957,                      1,                  0.995,                0.92422,                0.40924,                0.24294,                0.83154,              0.0010124,              0.0010124,              0.0010124
                    121,                0.44914,                0.26303,                0.83627,                0.99956,                      1,                  0.995,                0.92874,                0.40236,                0.23738,                0.82853,              0.0010069,              0.0010069,              0.0010069
                    122,                0.46861,                0.27988,                 0.8523,                0.99961,                      1,                  0.995,                0.93059,                 0.3896,                0.21604,                0.82679,              0.0010014,              0.0010014,              0.0010014
                    123,                0.46568,                0.28278,                  0.851,                0.99962,                      1,                  0.995,                0.92863,                0.39601,                0.21598,                0.83007,             0.00099587,             0.00099587,             0.00099587
                    124,                0.44998,                0.26211,                0.83804,                0.99964,                      1,                  0.995,                0.93096,                  0.405,                0.22261,                0.83447,             0.00099036,             0.00099036,             0.00099036
                    125,                0.45901,                0.26908,                0.83968,                0.99968,                      1,                  0.995,                0.92227,                0.41384,                0.21977,                0.83431,             0.00098486,             0.00098486,             0.00098486
                    126,                0.45901,                0.27182,                0.83286,                0.99983,                      1,                  0.995,                 0.9227,                0.40111,                0.22798,                0.83124,             0.00097936,             0.00097936,             0.00097936
                    127,                0.44684,                0.25863,                0.83088,                0.99964,                      1,                  0.995,                  0.929,                0.40372,                0.21949,                 0.8305,             0.00097386,             0.00097386,             0.00097386
                    128,                0.45628,                0.26708,                0.84133,                0.99961,                      1,                  0.995,                0.93012,                0.39321,                0.22159,                0.82637,             0.00096836,             0.00096836,             0.00096836
